Ticker,Name
AADI,"Aadi Bioscience, Inc."
AAN,"Aaron's Company, Inc."
AAON,"AAON, INC."
AAT,"American Assets Trust, Inc."
ABCB,Ameris Bancorp
ABG,ASBURY AUTOMOTIVE GROUP INC
ABM,ABM INDUSTRIES INC /DE/
ABR,ARBOR REALTY TRUST INC
ABUS,Arbutus Biopharma Corp
ACA,"Arcosa, Inc."
ACAD,ACADIA PHARMACEUTICALS INC
ACCD,"Accolade, Inc."
ACCO,ACCO BRANDS Corp
ACDC,ProFrac Holding Corp.
ACEL,"Accel Entertainment, Inc."
ACET,"Adicet Bio, Inc."
ACHR,Archer Aviation Inc.
ACIC,AMERICAN COASTAL INSURANCE Corp
ACIW,"ACI WORLDWIDE, INC."
ACLS,AXCELIS TECHNOLOGIES INC
ACLX,"Arcellx, Inc."
ACMR,"ACM Research, Inc."
ACNB,ACNB CORP
ACRE,Ares Commercial Real Estate Corp
ACRS,"Aclaris Therapeutics, Inc."
ACRV,"Acrivon Therapeutics, Inc."
ACT,"Enact Holdings, Inc."
ACTG,ACACIA RESEARCH CORP
ACVA,ACV Auctions Inc.
ADEA,Adeia Inc.
ADMA,"ADMA BIOLOGICS, INC."
ADNT,Adient plc
ADPT,Adaptive Biotechnologies Corp
ADRO,
ADTN,"ADTRAN Holdings, Inc."
ADUS,Addus HomeCare Corp
ADV,Advantage Solutions Inc.
AEHR,AEHR TEST SYSTEMS
AEIS,ADVANCED ENERGY INDUSTRIES INC
AEL,AMERICAN EQUITY INVESTMENT LIFE HOLDING CO
AEO,AMERICAN EAGLE OUTFITTERS INC
AESI,Atlas Energy Solutions Inc. Class A Common Stock
AEVA,"Aeva Technologies, Inc."
AFCG,"AFC Gamma, Inc."
AFRI,Forafric Global PLC
AGEN,AGENUS INC
AGIO,"AGIOS PHARMACEUTICALS, INC."
AGM,FEDERAL AGRICULTURAL MORTGAGE CORP
AGS,"PlayAGS, Inc."
AGTI,"AGILITI, INC. \DE"
AGX,ARGAN INC
AGYS,AGILYSYS INC
AHCO,AdaptHealth Corp.
AHH,"Armada Hoffler Properties, Inc."
AI,"C3.ai, Inc."
AIN,ALBANY INTERNATIONAL CORP /DE/
AIR,AAR CORP
AIRS,"Airsculpt Technologies, Inc."
AIT,APPLIED INDUSTRIAL TECHNOLOGIES INC
AIV,APARTMENT INVESTMENT & MANAGEMENT CO
AKR,ACADIA REALTY TRUST
AKRO,"Akero Therapeutics, Inc."
AKTS,"Akoustis Technologies, Inc."
AKYA,"Akoya Biosciences, Inc."
ALCO,"ALICO, INC."
ALDX,"Aldeyra Therapeutics, Inc."
ALE,ALLETE INC
ALEC,"Alector, Inc."
ALEX,"Alexander & Baldwin, Inc."
ALG,ALAMO GROUP INC
ALGT,Allegiant Travel CO
ALHC,"Alignment Healthcare, Inc."
ALIT,"Alight, Inc. / Delaware"
ALKS,Alkermes plc.
ALKT,"ALKAMI TECHNOLOGY, INC."
ALLK,Allakos Inc.
ALLO,"Allogene Therapeutics, Inc."
ALNT,ALLIENT INC
ALPN,"ALPINE IMMUNE SCIENCES, INC."
ALRM,"Alarm.com Holdings, Inc."
ALRS,ALERUS FINANCIAL CORP
ALT,"Altimmune, Inc."
ALTG,ALTA EQUIPMENT GROUP INC.
ALTI,"AlTi Global, Inc."
ALTM,Altus Midstream Co
ALTR,Altair Engineering Inc.
ALVR,"Allovir, Inc."
ALX,ALEXANDERS INC
ALXO,ALX ONCOLOGY HOLDINGS INC
AMAL,Amalgamated Financial Corp.
AMBA,AMBARELLA INC
AMBC,AMBAC FINANCIAL GROUP INC
AMCX,AMC Networks Inc.
AMEH,Apollo Medical Holdings Inc
AMK,"AMKOR TECHNOLOGY, INC."
AMKR,"AMKOR TECHNOLOGY, INC."
AMLX,"Amylyx Pharmaceuticals, Inc."
AMN,AMN HEALTHCARE SERVICES INC
AMNB,AMERICAN NATIONAL BANKSHARES INC.
AMPH,"Amphastar Pharmaceuticals, Inc."
AMPL,"Amplitude, Inc."
AMPS,"Altus Power, Inc."
AMPX,"Amprius Technologies, Inc."
AMPY,Amplify Energy Corp.
AMR,"Alpha Metallurgical Resources, Inc."
AMRC,"Ameresco, Inc."
AMRK,"A-Mark Precious Metals, Inc."
AMRX,"Amneal Pharmaceuticals, Inc."
AMSF,AMERISAFE INC
AMSWA,American Software Inc-GA
AMTB,Amerant Bancorp Inc.
AMWD,AMERICAN WOODMARK CORP
AMWL,American Well Corp
ANAB,"ANAPTYSBIO, INC"
ANDE,"Andersons, Inc."
ANF,ABERCROMBIE & FITCH CO /DE/
ANGO,ANGIODYNAMICS INC
ANIK,"Anika Therapeutics, Inc."
ANIP,ANI PHARMACEUTICALS INC
ANNX,"Annexon, Inc."
AOMR,"Angel Oak Mortgage REIT, Inc."
AORT,"ARTIVION, INC."
AOSL,ALPHA & OMEGA SEMICONDUCTOR Ltd
APAM,Artisan Partners Asset Management Inc.
APG,APi Group Corp
APGE,"Apogee Therapeutics, Inc."
APLD,Applied Digital Corp.
APLE,"Apple Hospitality REIT, Inc."
APOG,"APOGEE ENTERPRISES, INC."
APPF,APPFOLIO INC
APPN,APPIAN CORP
APPS,"Digital Turbine, Inc."
ARAY,ACCURAY INC
ARCB,ARCBEST CORP /DE/
ARCH,"ARCH RESOURCES, INC."
ARCT,Arcturus Therapeutics Holdings Inc.
ARDX,"ARDELYX, INC."
ARI,"Apollo Commercial Real Estate Finance, Inc."
ARIS,"Aris Water Solutions, Inc."
ARKO,ARKO Corp.
ARL,AMERICAN REALTY INVESTORS INC
ARLO,"Arlo Technologies, Inc."
AROC,"Archrock, Inc."
AROW,ARROW FINANCIAL CORP
ARQT,Arcutis Biotherapeutics Inc
ARR,"Armour Residential REIT, Inc."
ARRY,"Array Technologies, Inc."
ARTNA,ARTESIAN RESOURCES CORP
ARVN,"ARVINAS, INC."
ARWR,"ARROWHEAD PHARMACEUTICALS, INC."
ASAN,"Asana, Inc."
ASB,ASSOCIATED BANC-CORP
ASC,Ardmore Shipping Corp
ASGN,ASGN Inc
ASIX,AdvanSix Inc.
ASLE,AerSale Corp
ASO,"Academy Sports & Outdoors, Inc."
ASPN,ASPEN AEROGELS INC
ASRT,"Assertio Holdings, Inc."
ASTE,ASTEC INDUSTRIES INC
ASTS,"AST SpaceMobile, Inc."
ASUR,ASURE SOFTWARE INC
ATEC,"Alphatec Holdings, Inc."
ATEN,A10 Networks Inc
ATEX,Anterix Inc.
ATGE,Adtalem Global Education Inc.
ATI,ATI INC
