Ticker,Sector,Industry
OKE,Energy,Oil & Gas Midstream
NATR,Consumer Defensive,Packaged Foods
LPTV,Communication Services,Broadcasting
WERN,Industrials,Trucking
IIPR,Real Estate,REIT—Industrial
FLIC,Financial Services,Banks—Regional
ROVR,Other,Other
KEYS,Technology,Scientific & Technical Instruments
EVER,Communication Services,Internet Content & Information
SSB,Financial Services,Banks—Regional
AKAM,Technology,Software—Infrastructure
LRCX,Technology,Semiconductor Equipment & Materials
TWST,Healthcare,Diagnostics & Research
LEGH,Consumer Cyclical,Residential Construction
TGTX,Healthcare,Biotechnology
MLKN,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
CVGI,Consumer Cyclical,Auto Parts
NXRT,Real Estate,REIT—Residential
NARI,Healthcare,Medical Devices
FLNC,Utilities,Utilities—Renewable
UDMY,Consumer Defensive,Education & Training Services
PRIM,Industrials,Engineering & Construction
CARE,Financial Services,Banks—Regional
BKU,Financial Services,Banks—Regional
RIGL,Healthcare,Biotechnology
PLBC,Financial Services,Banks—Regional
HUMA,Healthcare,Biotechnology
RVMD,Healthcare,Biotechnology
PNW,Utilities,Utilities—Regulated Electric
CTGO,Basic Materials,Gold
BHE,Technology,Electronic Components
CORT,Healthcare,Biotechnology
HA,Industrials,Airlines
JANX,Healthcare,Biotechnology
EQR,Real Estate,REIT—Residential
KN,Technology,Electronic Components
ANNX,Healthcare,Biotechnology
CCRD,Technology,Software—Application
MVBF,Financial Services,Banks—Regional
SGHC,Consumer Cyclical,Gambling
CELC,Healthcare,Biotechnology
BHVN,Healthcare,Biotechnology
INTA,Technology,Software—Application
AXL,Consumer Cyclical,Auto Parts
IGMS,Healthcare,Biotechnology
SWI,Technology,Software—Infrastructure
FDMT,Healthcare,Biotechnology
WLY,Communication Services,Publishing
TDS,Communication Services,Telecom Services
SAFT,Financial Services,Insurance—Property & Casualty
FOA,Financial Services,Credit Services
AIRS,Healthcare,Medical Care Facilities
GDOT,Financial Services,Credit Services
CVBF,Financial Services,Banks—Regional
NVAX,Healthcare,Biotechnology
ZEUS,Basic Materials,Steel
ECL,Basic Materials,Specialty Chemicals
SMLR,Healthcare,Medical Devices
SLDP,Consumer Cyclical,Auto Parts
TWKS,Technology,Information Technology Services
TPH,Consumer Cyclical,Residential Construction
BSX,Healthcare,Medical Devices
INMD,Healthcare,Medical Devices
THRM,Consumer Cyclical,Auto Parts
ZTS,Healthcare,Drug Manufacturers—Specialty & Generic
APPN,Technology,Software—Infrastructure
SIGI,Financial Services,Insurance—Property & Casualty
PG,Consumer Defensive,Household & Personal Products
OABI,Healthcare,Biotechnology
IE,Basic Materials,Copper
KFS,Consumer Cyclical,Auto & Truck Dealerships
MATX,Industrials,Marine Shipping
AMTB,Financial Services,Banks—Regional
UTMD,Healthcare,Medical Instruments & Supplies
MOND,Consumer Cyclical,Travel Services
APLE,Real Estate,REIT—Hotel & Motel
HFFG,Consumer Defensive,Food Distribution
CARR,Industrials,Building Products & Equipment
MCO,Financial Services,Financial Data & Stock Exchanges
GT,Consumer Cyclical,Auto Parts
PFMT,Industrials,Specialty Business Services
INDI,Technology,Semiconductor Equipment & Materials
UTZ,Consumer Defensive,Packaged Foods
ALGT,Industrials,Airlines
CSTR,Other,Other
NTLA,Healthcare,Biotechnology
NVTS,Technology,Semiconductors
AMPH,Healthcare,Drug Manufacturers—Specialty & Generic
GNLX,Healthcare,Biotechnology
TMCI,Healthcare,Medical Devices
FBMS,Financial Services,Banks—Regional
ALLO,Healthcare,Biotechnology
DAL,Industrials,Airlines
SKYW,Industrials,Airlines
ETRN,Other,Other
DSP,Technology,Software—Application
LKQ,Consumer Cyclical,Auto Parts
TCBI,Financial Services,Banks—Regional
AVGO,Technology,Semiconductors
PBI,Industrials,Integrated Freight & Logistics
MCY,Financial Services,Insurance—Property & Casualty
WTBA,Financial Services,Banks—Regional
GVA,Industrials,Engineering & Construction
CF,Basic Materials,Agricultural Inputs
MTB,Financial Services,Banks—Regional
VICR,Technology,Electronic Components
AES,Utilities,Utilities—Diversified
DXPE,Industrials,Industrial Distribution
CL,Consumer Defensive,Household & Personal Products
CNDT,Technology,Information Technology Services
AUB,Financial Services,Banks—Regional
RXST,Healthcare,Medical Devices
NATH,Consumer Cyclical,Restaurants
WAT,Healthcare,Diagnostics & Research
ACT,Financial Services,Insurance—Specialty
IMVT,Healthcare,Biotechnology
AMP,Financial Services,Asset Management
WMK,Consumer Defensive,Grocery Stores
GEO,Industrials,Security & Protection Services
KVUE,Consumer Defensive,Household & Personal Products
MBC,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
SBGI,Communication Services,Broadcasting
WDFC,Basic Materials,Specialty Chemicals
CZNC,Financial Services,Banks—Regional
OPEN,Real Estate,Real Estate Services
ESRT,Real Estate,REIT—Diversified
IRTC,Healthcare,Medical Devices
STC,Financial Services,Insurance—Property & Casualty
VMD,Healthcare,Medical Devices
PAYX,Technology,Software—Application
ACMR,Technology,Semiconductor Equipment & Materials
MPWR,Technology,Semiconductors
EQC,Real Estate,REIT—Office
PRTA,Healthcare,Biotechnology
PHR,Healthcare,Health Information Services
BALL,Consumer Cyclical,Packaging & Containers
TNC,Industrials,Specialty Industrial Machinery
OLMA,Healthcare,Biotechnology
ADTN,Technology,Communication Equipment
EA,Communication Services,Electronic Gaming & Multimedia
SWIM,Industrials,Building Products & Equipment
DAKT,Technology,Electronic Components
MTTR,Technology,Software—Application
WMB,Energy,Oil & Gas Midstream
HTLD,Industrials,Trucking
VRRM,Industrials,Infrastructure Operations
MMI,Real Estate,Real Estate Services
HRL,Consumer Defensive,Packaged Foods
RGR,Industrials,Aerospace & Defense
WMT,Consumer Defensive,Discount Stores
ALB,Basic Materials,Specialty Chemicals
SMBK,Financial Services,Banks—Regional
YOU,Technology,Software—Application
RMBS,Technology,Semiconductors
IT,Technology,Information Technology Services
MDT,Healthcare,Medical Devices
UCBI,Other,Other
EAF,Industrials,Electrical Equipment & Parts
HRMY,Healthcare,Biotechnology
LXFR,Industrials,Specialty Industrial Machinery
CRC,Energy,Oil & Gas E&P
HAE,Healthcare,Medical Instruments & Supplies
RPD,Technology,Software—Infrastructure
PHM,Consumer Cyclical,Residential Construction
SPCE,Industrials,Aerospace & Defense
TTGT,Communication Services,Internet Content & Information
PRO,Technology,Software—Application
UE,Real Estate,REIT—Retail
KALU,Basic Materials,Aluminum
EAT,Consumer Cyclical,Restaurants
CERE,Other,Other
HWC,Financial Services,Banks—Regional
CPK,Utilities,Utilities—Regulated Gas
CCSI,Technology,Software—Infrastructure
MBUU,Consumer Cyclical,Recreational Vehicles
NPO,Industrials,Specialty Industrial Machinery
VITL,Consumer Defensive,Farm Products
ATEN,Technology,Software—Infrastructure
SRDX,Healthcare,Medical Devices
CPS,Consumer Cyclical,Auto Parts
EXTR,Technology,Communication Equipment
CPSS,Financial Services,Credit Services
WSFS,Financial Services,Banks—Regional
POR,Utilities,Utilities—Regulated Electric
ESGR,Financial Services,Insurance—Diversified
HTBK,Financial Services,Banks—Regional
CDMO,Healthcare,Biotechnology
CSV,Consumer Cyclical,Personal Services
FGEN,Healthcare,Biotechnology
AIN,Consumer Cyclical,Textile Manufacturing
CVNA,Consumer Cyclical,Auto & Truck Dealerships
IESC,Industrials,Engineering & Construction
ALX,Real Estate,REIT—Retail
AON,Financial Services,Insurance Brokers
OM,Healthcare,Medical Devices
WSBC,Financial Services,Banks—Regional
ROG,Technology,Electronic Components
MAA,Real Estate,REIT—Residential
NEOG,Healthcare,Diagnostics & Research
IGT,Consumer Cyclical,Gambling
QUAD,Industrials,Specialty Business Services
EWTX,Healthcare,Biotechnology
FNA,Healthcare,Medical Devices
TIO,Technology,Software—Application
ZIP,Industrials,Staffing & Employment Services
FIS,Technology,Information Technology Services
HUBB,Industrials,Electrical Equipment & Parts
ANIP,Healthcare,Drug Manufacturers—Specialty & Generic
HLT,Consumer Cyclical,Lodging
HCI,Financial Services,Insurance—Property & Casualty
ETWO,Technology,Software—Application
ZETA,Technology,Software—Infrastructure
GPC,Consumer Cyclical,Auto Parts
CTO,Real Estate,REIT—Diversified
AAN,Industrials,Rental & Leasing Services
KZR,Healthcare,Biotechnology
